Country,Product_type,Month,US Total
United States,Crude oil,2002-01-01,5848.0
United States,Crude oil,2002-02-01,5871.0
United States,Crude oil,2002-03-01,5883.0
United States,Crude oil,2002-04-01,5859.0
United States,Crude oil,2002-05-01,5924.0
United States,Crude oil,2002-06-01,5915.0
United States,Crude oil,2002-07-01,5770.0
United States,Crude oil,2002-08-01,5811.0
United States,Crude oil,2002-09-01,5411.0
United States,Crude oil,2002-10-01,5363.0
United States,Crude oil,2002-11-01,5597.0
United States,Crude oil,2002-12-01,5699.0
United States,Crude oil,2003-01-01,5785.0
United States,Crude oil,2003-02-01,5791.0
United States,Crude oil,2003-03-01,5817.0
United States,Crude oil,2003-04-01,5774.0
United States,Crude oil,2003-05-01,5733.0
United States,Crude oil,2003-06-01,5701.0
United States,Crude oil,2003-07-01,5526.0
United States,Crude oil,2003-08-01,5595.0
United States,Crude oil,2003-09-01,5683.0
United States,Crude oil,2003-10-01,5635.0
United States,Crude oil,2003-11-01,5560.0
United States,Crude oil,2003-12-01,5579.0
United States,Crude oil,2004-01-01,5570.0
United States,Crude oil,2004-02-01,5556.0
United States,Crude oil,2004-03-01,5607.0
United States,Crude oil,2004-04-01,5526.0
United States,Crude oil,2004-05-01,5548.0
United States,Crude oil,2004-06-01,5398.0
United States,Crude oil,2004-07-01,5458.0
United States,Crude oil,2004-08-01,5333.0
United States,Crude oil,2004-09-01,5062.0
United States,Crude oil,2004-10-01,5156.0
United States,Crude oil,2004-11-01,5396.0
United States,Crude oil,2004-12-01,5413.0
United States,Crude oil,2005-01-01,5446.0
United States,Crude oil,2005-02-01,5501.0
United States,Crude oil,2005-03-01,5601.0
United States,Crude oil,2005-04-01,5563.0
United States,Crude oil,2005-05-01,5596.0
United States,Crude oil,2005-06-01,5442.0
United States,Crude oil,2005-07-01,5253.0
United States,Crude oil,2005-08-01,5198.0
United States,Crude oil,2005-09-01,4214.0
United States,Crude oil,2005-10-01,4555.0
United States,Crude oil,2005-11-01,4857.0
United States,Crude oil,2005-12-01,4988.0
United States,Crude oil,2006-01-01,5048.0
United States,Crude oil,2006-02-01,5032.0
United States,Crude oil,2006-03-01,5027.0
United States,Crude oil,2006-04-01,5082.0
United States,Crude oil,2006-05-01,5151.0
United States,Crude oil,2006-06-01,5163.0
United States,Crude oil,2006-07-01,5094.0
United States,Crude oil,2006-08-01,5040.0
United States,Crude oil,2006-09-01,5031.0
United States,Crude oil,2006-10-01,5108.0
United States,Crude oil,2006-11-01,5064.0
United States,Crude oil,2006-12-01,5186.0
United States,Crude oil,2007-01-01,5108.0
United States,Crude oil,2007-02-01,5118.0
United States,Crude oil,2007-03-01,5119.0
United States,Crude oil,2007-04-01,5180.0
United States,Crude oil,2007-05-01,5211.0
United States,Crude oil,2007-06-01,5075.0
United States,Crude oil,2007-07-01,5038.0
United States,Crude oil,2007-08-01,4970.0
United States,Crude oil,2007-09-01,4902.0
United States,Crude oil,2007-10-01,5022.0
United States,Crude oil,2007-11-01,5034.0
United States,Crude oil,2007-12-01,5111.0
United States,Crude oil,2008-01-01,5115.0
United States,Crude oil,2008-02-01,5148.0
United States,Crude oil,2008-03-01,5189.0
United States,Crude oil,2008-04-01,5180.0
United States,Crude oil,2008-05-01,5143.0
United States,Crude oil,2008-06-01,5138.0
United States,Crude oil,2008-07-01,5177.0
United States,Crude oil,2008-08-01,5003.0
United States,Crude oil,2008-09-01,3974.0
United States,Crude oil,2008-10-01,4738.0
United States,Crude oil,2008-11-01,5078.0
United States,Crude oil,2008-12-01,5103.0
United States,Crude oil,2009-01-01,5144.0
United States,Crude oil,2009-02-01,5239.0
United States,Crude oil,2009-03-01,5219.0
United States,Crude oil,2009-04-01,5278.0
United States,Crude oil,2009-05-01,5377.0
United States,Crude oil,2009-06-01,5269.0
United States,Crude oil,2009-07-01,5398.0
United States,Crude oil,2009-08-01,5418.0
United States,Crude oil,2009-09-01,5559.0
United States,Crude oil,2009-10-01,5524.0
United States,Crude oil,2009-11-01,5395.0
United States,Crude oil,2009-12-01,5452.0
United States,Crude oil,2010-01-01,5404.0
United States,Crude oil,2010-02-01,5553.0
United States,Crude oil,2010-03-01,5515.0
United States,Crude oil,2010-04-01,5392.0
United States,Crude oil,2010-05-01,5401.0
United States,Crude oil,2010-06-01,5380.0
United States,Crude oil,2010-07-01,5298.0
United States,Crude oil,2010-08-01,5447.0
United States,Crude oil,2010-09-01,5616.0
United States,Crude oil,2010-10-01,5631.0
United States,Crude oil,2010-11-01,5576.0
United States,Crude oil,2010-12-01,5607.0
United States,Crude oil,2011-01-01,5497.0
United States,Crude oil,2011-02-01,5406.0
United States,Crude oil,2011-03-01,5618.0
United States,Crude oil,2011-04-01,5562.0
United States,Crude oil,2011-05-01,5625.0
United States,Crude oil,2011-06-01,5589.0
United States,Crude oil,2011-07-01,5440.0
United States,Crude oil,2011-08-01,5665.0
United States,Crude oil,2011-09-01,5614.0
United States,Crude oil,2011-10-01,5902.0
United States,Crude oil,2011-11-01,6039.0
United States,Crude oil,2011-12-01,6112.0
